"","Epithelial...Basal","Epithelial...Ciliated","Epithelial...Club","Epithelial...Deuterosomal","Epithelial...Duct","Epithelial...Goblet","Epithelial...Hillock","Epithelial...Secretory","Epithelial...Squamous","Epithelial...Transitional","Lymphoid...B.cell","Lymphoid...CD4.T.cell","Lymphoid...CD8.T.cell","Lymphoid...Naive.T.cell","Lymphoid...NK.NKT","Myeloid...Dendritic","Myeloid...Macrophage","Myeloid...Mast","Myeloid...Monocyte","Myeloid...Neutrophil"
"sample_57",0.0313827343938599,0.0548350634295636,0.00272412889921886,0.0894209888507517,0.011743589170762,0.0670723651559836,0.0529814927118453,0.0916198485732175,0.0522254351828515,0.130714964200983,0.0308204502554692,0.0467928541191529,0.0332050833059946,0.00801091213493696,0.0610100577668917,0.062310499552986,0.0468045290846025,0.0139383689521294,0.00884769123501432,0.103538943023786
"sample_58",0.0731633069613909,0.104858615460645,0.0300575529762247,0.0922196956725991,0.0118140467340609,0.017225266119562,0.0253704894178597,0.144339928201478,0.0239506151251634,0.024570643133755,0.0325833026908125,0.0374037654905606,0.0268381632692475,0.0178645662628486,0.0534625842529044,0.0633006494455908,0.0338555768046432,0.018236949301258,0.0609792924431742,0.107904990236221
"sample_59",0.0867993994262311,0.0770712963245532,0,0.0767440158030588,0.0220552406454729,0.0224137347594947,0.0197721522158555,0.283229188469917,0.0304386526794321,0.0734967417658792,0.0386061061723978,0.0366597383273461,0.0222425054186771,0.0176035015070635,0.0524611166035018,0.0545158404621658,0.0388420868355431,0.0246002242511381,0.00977071973622668,0.012677738596046
"sample_60",0.035128761045336,0.0418531988371051,0,0.0784057823135372,0.0101824832545829,0.00235839408125814,0.0367010491913414,0.121354187789247,0.0610441497668146,0,0.0386997875116797,0.0614054727200029,0.050679103503977,0,0.0832123899981723,0.0924205387985086,0.0510365396249689,0.0302678299155902,0.0378526887578823,0.167397642889996
"sample_61",0.026036285071618,0.0355107302062961,0,0.0593622717335855,0.0235315162871001,0.154031635727009,0.039934524690679,0.183341125255236,0.0627612090152022,0.0638543378057952,0.032311419410688,0.0349378953258976,0.0274464685047362,0.0170193367655846,0.0358989862562629,0.0515173146119933,0.0449471122479234,0.0206069575634967,0.0188520029855559,0.0680988705353404
"sample_62",0.0342141880630276,0.0446243208058228,0.0281330762832123,0.0979889608180135,0.02381510791611,0.0682231181267436,0.00546161333312974,0.0410482732917607,0.143092893552197,0.0848356328394678,0.0288085687602667,0.0371823273676175,0.0424619828752158,0.0244092487992131,0.0648787816455522,0.0621866847062646,0.0419129120826034,0.0090369258302392,0.0500124302436452,0.0676729526598972
"sample_63",0.0379594562561843,0.0402525372707299,0,0.0705719645694877,0.00667552113146743,0.115840722109103,0.0393258023218358,0.20302769867878,0.0441875364604363,0.134829335965842,0.0341207010346549,0.0424575263606328,0.0261070664812458,0.0139334117757917,0.0350081991761382,0.0497575873024474,0.0512121336463312,0.0265981165432903,0.00704672526887089,0.0210879576467307
"sample_64",0.0581759036218006,0.0914772766226531,0.0213664091528806,0.05031827998998,0.0176622178775159,0.0673037944026067,0.0468136262726454,0.105630361228736,0.0330733888560323,0.201230562437984,0.0328875159458281,0.0368040654666178,0.0296759672099007,0.0177533802247698,0.0411725767503241,0.0488716262794102,0.055396637412199,0.0178369240948288,0.0133968451234454,0.0131526410298418
"sample_65",0.065751088242776,0.126315598986062,0.0477821961331456,0.0923563287958192,0.00447251204999593,0.00828154386964788,0,0.146935794088686,0.0174316418470577,0.144785397773075,0.0416083446814638,0.0434786416028647,0.0356805745965721,0.0177125136366667,0.0508516672023101,0.0580818586825031,0.046135844985457,0.0222464769260991,0.0143104776419406,0.0157814982578585
"sample_66",0.00818638689604848,0.0298106821803714,0.0101889234958132,0.0911965746525296,0.0400234071954939,0.179858488119298,0.0413346043123308,0.0831117036382386,0.0432713518444336,0.11592993586144,0.0310002668613124,0.0388307692857905,0.0360721566407817,0.0184412323841675,0.0445313382228843,0.0534433794898187,0.0472088611374886,0.013751968023115,0.0185530057733914,0.0552549639852527
